Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Robelis Despaigne Sanquet,M,23.0,Cuba,CUB,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Bronze
Yordani Despaigne Herrera,M,24.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,
Yosvany Oreidis Despaigne Terry,M,24.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,
Yosvany Oreidis Despaigne Terry,M,28.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Middleweight,
Michelle Despain (-Hoeger),F,21.0,Argentina,ARG,2006 Winter,2006,Winter,Torino,Luge,Luge Women's Singles,
Maria Despas,F,34.0,Australia,AUS,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,
Alexandre Despatie,M,15.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,
Alexandre Despatie,M,19.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Springboard,Silver
Alexandre Despatie,M,19.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,
Alexandre Despatie,M,19.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Platform,
Alexandre Despatie,M,23.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Springboard,Silver
Alexandre Despatie,M,23.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,
Alexandre Despatie,M,27.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Men's Springboard,
Alexandre Despatie,M,27.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Springboard,
ric Despezelle,M,25.0,France,FRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Extra-Lightweight,
Jrmy Desplanches,M,21.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,
Jrmy Desplanches,M,21.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,
Damien Desprat Lerale,M,37.0,Monaco,MON,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Dinghy,
Julien Thierry Desprs,M,25.0,France,FRA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Bronze
Serge Despres,M,27.0,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,
Serge Despres,M,27.0,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,
Linouse Desravine,F,21.0,Haiti,HAI,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,
Cyril Dessel,M,33.0,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
Daniele Dessena,M,21.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
Nicolas Dessum,M,24.0,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
Nicolas Dessum,M,24.0,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Nicolas Dessum,M,24.0,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
"Richard Dessureault-Dober, Jr.",M,23.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
"Richard Dessureault-Dober, Jr.",M,23.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
